client_id,name,is_live,status,last_updated,onboarded_on,location,email,phone_number,risk_score,created_ts,updated_by
C0001,Daniel Reed,Y,Active,06-11-2024,12-03-2025,UK,kristenroberts@example.net,+1-309-940-7405x11802,0.5,12-03-2025 00:00,jenniferaustin
C0002,Mr. Samuel Huffman,N,Offboarded,06-04-2024,03-05-2024,USA,margaretmiranda@example.net,+1-957-684-3864x19979,0.2,03-05-2024 00:00,kelsey86
C0003,Karen Hudson,N,Active,03-03-2025,29-10-2024,Australia,bbrooks@example.org,668.669.8063x39118,0.51,29-10-2024 00:00,thomaserica
C0004,Amanda Armstrong MD,Y,Offboarded,07-03-2025,13-09-2024,Germany,samuelstephens@example.org,768-331-9835,0.71,13-09-2024 00:00,kathleenedwards
C0005,Brian Luna,N,Offboarded,01-06-2025,15-05-2024,Germany,john48@example.net,659.928.5035x450,0.27,15-05-2024 00:00,leslie25
C0006,Michelle Davis,N,Offboarded,08-02-2025,14-02-2024,Germany,whiteruth@example.net,696-759-5952,0.92,14-02-2024 00:00,ffoster
C0007,Danielle Parker,Y,Inactive,17-11-2024,10-03-2024,India,marymartinez@example.net,+1-747-801-0380x5607,0.34,10-03-2024 00:00,pharmon
C0008,David Taylor,Y,Offboarded,23-01-2025,11-03-2025,India,moorethomas@example.com,818-866-9110x760,0.4,11-03-2025 00:00,cortezjoshua
C0009,Ariel Crawford,Y,Inactive,26-02-2024,01-11-2024,Australia,williamfisher@example.net,(923)319-0469x949,0.96,01-11-2024 00:00,samanthamclaughlin
C0010,Victor Smith,N,Inactive,09-01-2024,06-11-2024,USA,mendozadenise@example.net,253.615.4574x95230,0.12,06-11-2024 00:00,ricebradley
C0011,Donald Ellis,Y,Inactive,19-09-2024,30-07-2024,UK,george71@example.com,387-764-0465x646,0.83,30-07-2024 00:00,robinsondaniel
C0012,Stephanie Richards,Y,Inactive,14-03-2025,04-04-2025,USA,shahlaura@example.net,(481)692-9225x209,0.07,04-04-2025 00:00,crystal16
C0013,Edward Garcia,N,Inactive,27-01-2025,17-11-2024,Germany,uhayes@example.org,544.629.6557x99921,0.06,17-11-2024 00:00,jennifer31
C0014,Steven Villegas,Y,Active,10-01-2025,28-04-2024,Canada,pbarnes@example.com,(878)629-6621x2341,0.49,28-04-2024 00:00,ronaldsmith
C0015,Danielle Gardner,Y,Offboarded,24-03-2024,06-02-2024,UK,brownjo@example.net,931-595-6442x30499,0.83,06-02-2024 00:00,mayjasmin
C0016,Ashley Davenport,Y,Active,03-08-2024,25-05-2025,USA,jennifer78@example.org,001-335-419-6223x98808,0.63,25-05-2025 00:00,yhopkins
C0017,Stephen Burns,N,Offboarded,27-02-2025,23-02-2025,UK,chamberstyler@example.net,886-496-9519x28148,0.56,23-02-2025 00:00,molly08
C0018,Andrea Simpson,N,Offboarded,02-01-2024,22-03-2024,UK,stevegonzales@example.net,859-968-4882x39921,0.11,22-03-2024 00:00,smithcody
C0019,Melanie Perez,Y,Inactive,12-01-2025,11-12-2024,India,lpatton@example.org,+1-523-231-3746x320,0.54,11-12-2024 00:00,davidnichols
C0020,Kimberly Smith,Y,Active,18-02-2025,13-06-2024,UK,joseph48@example.com,8372498973,0.3,13-06-2024 00:00,boyereddie
C0021,Jennifer Arnold,Y,Inactive,21-01-2025,07-03-2024,Australia,mward@example.com,(577)367-6263,0.23,07-03-2024 00:00,jacobwilliams
C0022,Timothy Rivers,N,Offboarded,16-09-2024,05-02-2025,Australia,harrisjennifer@example.net,428-930-2247,0.56,05-02-2025 00:00,nmoore
C0023,Eric Vazquez,Y,Active,10-05-2024,16-05-2024,Australia,imarshall@example.com,554-915-1896,0.9,16-05-2024 00:00,qhoffman
C0024,David Zavala,N,Offboarded,21-07-2025,06-04-2024,USA,brittneyjohns@example.net,-9798,0.94,06-04-2024 00:00,jessica65
C0025,Tiffany Johnson,Y,Offboarded,18-06-2024,11-08-2024,Germany,frankevans@example.com,508-408-6522x169,0.67,11-08-2024 00:00,daniel77
C0026,Kristy Hobbs,Y,Offboarded,29-11-2024,25-05-2025,Canada,conwaymichelle@example.com,758.530.8206,0.12,25-05-2025 00:00,kingadam
C0027,Jennifer Baird,N,Inactive,22-06-2025,10-09-2024,UK,whitakershawn@example.com,001-965-205-8562x098,0.71,10-09-2024 00:00,maldonadoanthony
C0028,Mr. Patrick Scott,Y,Offboarded,24-05-2025,25-01-2024,Canada,hannahhuffman@example.net,001-837-775-9433,0.4,25-01-2024 00:00,kingalbert
C0029,Corey Petty,N,Inactive,01-04-2024,28-06-2024,Germany,hallmichael@example.org,001-395-521-2172x3317,0.53,28-06-2024 00:00,smithwilliam
C0030,Dillon Lam,Y,Offboarded,05-09-2024,20-07-2024,USA,campbelltyler@example.org,+1-558-766-8383x62883,0.01,20-07-2024 00:00,williamsjessica
C0031,Katie Mays,N,Offboarded,30-03-2025,12-04-2024,India,kurt93@example.com,+1-581-767-4758x03348,0.6,12-04-2024 00:00,friedmantimothy
C0032,Erica Gibbs,Y,Active,11-11-2024,23-07-2024,USA,blake00@example.org,(396)834-3315x4622,0.73,23-07-2024 00:00,zolson
C0033,Jason Harrison,N,Active,09-02-2024,09-11-2024,India,vhernandez@example.net,301-417-5902x159,0.3,09-11-2024 00:00,pwalker
C0034,Jerry West,Y,Active,29-10-2024,10-10-2024,Germany,sabrinarhodes@example.com,816.230.2879x16201,0.04,10-10-2024 00:00,simonsteve
C0035,Donald Hicks,Y,Active,07-02-2025,24-11-2024,India,hollandadam@example.com,(763)828-4797x169,0.41,24-11-2024 00:00,campbellgregory
C0036,Catherine Little,N,Offboarded,29-03-2025,08-03-2024,USA,deborah26@example.com,294.426.3863,0.51,08-03-2024 00:00,angelabailey
C0037,Kellie Jacobson,N,Active,12-04-2024,28-04-2025,Canada,mcdonalderica@example.net,+1-894-561-0772x0231,0.27,28-04-2025 00:00,kyle65
C0038,Megan Johns,Y,Offboarded,05-02-2025,05-01-2024,India,conniereid@example.org,301-974-7467x0207,0.19,05-01-2024 00:00,allison96
C0039,Brandy Lin,N,Active,10-11-2024,09-09-2024,Germany,jessicavaughn@example.net,(986)831-2238x8875,0.21,09-09-2024 00:00,alicerichmond
C0040,Shelia Johnson,N,Offboarded,22-06-2024,22-11-2024,India,sabrinasellers@example.org,339.489.8617x8379,0.07,22-11-2024 00:00,slopez
C0041,Cole Carey,N,Active,14-09-2024,01-05-2025,Australia,yubernard@example.net,635-214-5794x974,0.82,01-05-2025 00:00,henryanne
